grade,subject,chapter,step,type,severity,quote,problem
Grade 9,Science,"Work, Energy, and Simple Machines","Concept Introduction: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,You will learn the scientific meaning of work and how it differs from everyday usage.,The source text does not explicitly mention the scientific meaning of work differing from everyday usage.
Grade 9,Science,"Work, Energy, and Simple Machines","Concept Introduction: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,Work is measured in joules and can be found from a force-displacement graph.,The source text does not explicitly mention that work can be found from a force-displacement graph.
Grade 9,Science,"Work, Energy, and Simple Machines","Core Explanation: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,Energy appears in many forms and can change from one form to another.,The source text does not explicitly mention that energy can change from one form to another.
Grade 9,Science,"Work, Energy, and Simple Machines","Core Explanation: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,Mechanical energy is especially useful for studying motion because it includes kinetic energy due to motion and potential energy stored because of shape or position.,The source text does not explicitly mention that mechanical energy is especially useful for studying motion.
Grade 9,Science,"Work, Energy, and Simple Machines","Exam-Style Problems: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,Power measures how quickly work is done.,The source text does not explicitly mention that power measures how quickly work is done.
Grade 9,Science,"Work, Energy, and Simple Machines","Exam-Style Problems: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,The watt is equal to one joule per second.,The source text does not explicitly mention that the watt is equal to one joule per second.
Grade 9,Science,"Work, Energy, and Simple Machines","Revision and Recap: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,A lever is a rigid bar that rotates about a fixed point called the fulcrum.,The source text does not explicitly mention that a lever is a rigid bar that rotates about a fixed point called the fulcrum.
Grade 9,Science,"Work, Energy, and Simple Machines","Revision and Recap: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,A balanced lever satisfies effort × effort arm = load × load arm.,The source text does not explicitly mention that a balanced lever satisfies effort × effort arm = load × load arm.
Grade 9,Science,"Work, Energy, and Simple Machines","Worked Examples: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,Kinetic energy and potential energy can change into each other.,The source text does not explicitly mention that kinetic energy and potential energy can change into each other.
Grade 9,Science,"Work, Energy, and Simple Machines","Worked Examples: Work, Energy, and Simple Machines",UNSUPPORTED_CLAIM,low,"When only gravity acts, their sum remains constant.","The source text does not explicitly mention that when only gravity acts, their sum remains constant."
Grade 9,Social Science,Chapter 1: Understanding Social Science,Concept Introduction: Understanding Social Science,INCONSISTENCY,low,Social Science is the systematic study of human society.,"This statement is repeated in the lesson step without any new information, which could be considered redundant."
Grade 9,Social Science,Chapter 1: Understanding Social Science,Core Explanation: Understanding Social Science,UNSUPPORTED_CLAIM,low,"Pañchamahābhūtas presents nature as an interconnected system and links the environment with settlement patterns, occupations, architecture, food habits, and health practices.","While Pañchamahābhūtas does describe the natural world, the chapter does not provide sufficient evidence to support the claim that it links the environment with all these specific aspects of human life."
Grade 9,Social Science,Chapter 1: Understanding Social Science,Exam-Style Problems: Understanding Social Science,FABRICATED_NUMBER,low,The chapter presents Panchayati Raj as grassroots democracy that gives citizens a voice in local development planning.,The chapter does not mention any specific number or data point related to Panchayati Raj.
Grade 9,Social Science,Chapter 1: Understanding Social Science,Revision and Recap: Understanding Social Science,TOPIC_MISMATCH,high,"The chapter identifies climate change, sustainable development, social harmony, equitable resource use, and responsible technology as major areas where Social Science will remain important.","This topic seems to belong to a different chapter or topic, as it is not directly related to the main ideas presented in the current chapter."
Grade 9,Social Science,Chapter 1: Understanding Social Science,Worked Examples: Understanding Social Science,ARITHMETIC_ERROR,low,Figures 1.2 and 1.3 show the Sāmaveda manuscript and a palm-leaf manuscript of the Tirukkuṟal; these are literary sources.,The chapter does not provide any mathematical calculations or final answers that could be checked for errors.
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,Concept introduction,UNSUPPORTED_CLAIM,low,"The theory of plate tectonics, given by W.J. Morgan, explains that the Earth's outer layer is broken into several large and small tectonic plates rather than being one unbroken piece.","The theory of plate tectonics was given by Alfred Wegener, not W.J. Morgan."
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,Core explanation,UNSUPPORTED_CLAIM,low,Weathering does not transport the broken rock. Movement of the material is the key feature that distinguishes erosion from weathering.,"This is a correct statement, but it is not an error."
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,Exam-style problems,UNSUPPORTED_CLAIM,low,The chapter does not give a method for exact earthquake prediction.,"This is a correct statement, but it is not an error."
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,Revision and recap,UNSUPPORTED_CLAIM,low,"The chapter asks students to use newspapers, atlases, books, maps, posters, local case studies, and class projects to identify prone areas, analyse causes and impacts, and discuss mitigation.","This is a correct statement, but it is not an error."
Grade 9,Social Science,Chapter 2: Shaping of the Earth's Surface,Worked examples,UNSUPPORTED_CLAIM,low,A meander is formed only by deposition.,A meander is formed through both lateral erosion on the outer bank and deposition on the inner bank.
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Concept Introduction: Atmosphere and Climate,FABRICATED_NUMBER,low,"The troposphere is the most important layer of the atmosphere, with an average height of about 12 kilometres.","The average height of the troposphere is given as 12 kilometres, but the actual value may vary slightly depending on the source."
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Core Explanation: Atmosphere and Climate,UNSUPPORTED_CLAIM,low,"Humidity is the presence of water vapour in the air. Warmer air can hold more water vapour; on humid days, clothes dry slowly and sweat evaporates more slowly.","The statement that warmer air can hold more water vapour is not explicitly supported by the source text, although it is a commonly known fact."
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Core Explanation: Atmosphere and Climate,FABRICATED_NUMBER,low,"Wind speed in Table 3.1 links wind speed with effects: calm air at 0-1 km/hr, a light breeze at 6-11 km/hr, a strong breeze at 39-49 km/hr, and a storm at 103-117 km/hr.","The exact wind speed ranges are not provided in the source text, but rather in the lesson step."
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Exam-Style Problems: Atmosphere and Climate,FABRICATED_NUMBER,low,"The total amount of greenhouse gases released because of human activities such as energy use, transport, and producing goods and services is called the carbon footprint.","The exact value of the carbon footprint is not provided in the source text, but rather in the lesson step."
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Revision and Recap: Atmosphere and Climate,FABRICATED_NUMBER,low,The average temperature over most inland areas ranges from 32-40°C during the summer or pre-monsoon season.,"The exact temperature range is not provided in the source text, but rather in the lesson step."
Grade 9,Social Science,Chapter 3: Atmosphere and Climate,Worked Examples: Atmosphere and Climate,FABRICATED_NUMBER,low,"The Indian Meteorological Department recognises four seasons: winter, summer or pre-monsoon, monsoon or rainy season, and post-monsoon or retreating monsoon.","The exact dates for each season are not provided in the source text, but rather in the lesson step."
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,Concept Introduction: Early Humans and Beginning of Civilisation,UNSUPPORTED_CLAIM,low,"You will also trace the broad story of human evolution, migration from Africa, and the development of early tools and symbolic behaviour.","The step claims that the chapter will cover human evolution, migration from Africa, and the development of early tools and symbolic behaviour, but the source text does not explicitly mention these topics in the introduction."
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,Core Explanation: Early Humans and Beginning of Civilisation,FABRICATED_NUMBER,low,Attirampakkam is dated to about 1.5-1.7 million years ago and Isampur to about 1.2 million years ago.,"The exact dates of Attirampakkam and Isampur are not mentioned in the source text, and the numbers provided are not verified."
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,Exam-Style Problems: Early Humans and Beginning of Civilisation,TOPIC_MISMATCH,high,"Egypt and China developed in different river valleys and created their own systems of rule, writing, craft production, social hierarchy, and belief.","The step is discussing the social hierarchy and daily life of people in the Egyptian civilisation and China, but the chapter label is 'Early Humans and Beginning of Civilisation', which does not match the topic of the step."
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,Revision and Recap: Early Humans and Beginning of Civilisation,INCONSISTENCY,low,"Egypt was ruled by pharaohs and developed officials through irrigation-related administration; China was organised through dynasties, and the chapter notes carefully selected public officials.","The step mentions that Egypt was ruled by pharaohs, but the source text does not mention pharaohs in the context of Egyptian administration."
Grade 9,Social Science,Chapter 4: Early Humans and Beginning of Civilisation,Worked Examples: Early Humans and Beginning of Civilisation,TOPIC_MISMATCH,high,The chapter presents civilisation as the result of many connected changes rather than a single invention.,"The step is discussing the rise of the Sindhu-Sarasvati and Mesopotamian civilisations, but the chapter label is 'Early Humans and Beginning of Civilisation', which does not match the topic of the step."
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Concept Introduction: State and Society up to 1000 CE,UNSUPPORTED_CLAIM,low,"A society is mainly held together by social relationships, customs, families, marriage, and a sense of belonging, while a State is an organised political system with rules, laws, duties, rights, and institutions for governance and law and order.",This explanation oversimplifies the relationship between society and the State.
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Concept Introduction: State and Society up to 1000 CE,FABRICATED_NUMBER,low,"The Ṛigveda contains 1,028 hymns.",The exact number of hymns in the Ṛigveda is not specified in the SOURCE_TEXT.
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Core Explanation: State and Society up to 1000 CE,UNSUPPORTED_CLAIM,low,"The king remained the supreme authority in many states, but provinces, districts, cities, village headmen, district boards, and village assemblies performed essential administrative work.",This explanation does not accurately reflect the complexity of governance in ancient India.
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Exam-Style Problems: State and Society up to 1000 CE,FABRICATED_NUMBER,low,The Milindapañho describes eight agricultural stages.,The SOURCE_TEXT does not specify the number of agricultural stages described in the Milindapañho.
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Revision and Recap: State and Society up to 1000 CE,UNSUPPORTED_CLAIM,low,The central story is one of increasing scale and complexity joined with continuity.,This explanation oversimplifies the complex dynamics of ancient Indian society and the State.
Grade 9,Social Science,Chapter 5: State and Society up to 1000 CE,Worked Examples: State and Society up to 1000 CE,FABRICATED_NUMBER,low,"The verse describes a poet, a father who is a physician, and a mother who grinds corn.",The SOURCE_TEXT does not specify the exact number of occupations mentioned in the verse.
Grade 9,Social Science,Chapter 6: Democracy,Concept Introduction: Democracy,UNSUPPORTED_CLAIM,low,India is the world’s largest democracy.,"The chapter does not explicitly state that India is the world’s largest democracy, but it is a well-known fact."
Grade 9,Social Science,Chapter 6: Democracy,Concept Introduction: Democracy,FABRICATED_NUMBER,low,a population of over 140 crore and a voter base of over 96.8 crore (in 2024),"The numbers are not explicitly stated in the SOURCE_TEXT, but they are likely based on real data."
Grade 9,Social Science,Chapter 6: Democracy,Core Explanation: Democracy,UNSUPPORTED_CLAIM,low,The Rule of Law is a fundamental principle of any democratic society.,"The chapter does not explicitly state that the Rule of Law is a fundamental principle of any democratic society, but it is a well-known fact."
Grade 9,Social Science,Chapter 6: Democracy,Core Explanation: Democracy,FABRICATED_NUMBER,low,Every citizen aged 18 years and above has the right to vote through a secret ballot.,"The chapter does not explicitly state that the right to vote is granted at the age of 18, but it is a well-known fact."
Grade 9,Social Science,Chapter 6: Democracy,Exam-Style Problems: Democracy,FABRICATED_NUMBER,low,21 States and 2 Union Territories provided 50 per cent reservation in Panchayati Raj Institutions.,The chapter does not explicitly state the number of States and Union Territories that provided 50 per cent reservation in Panchayati Raj Institutions.
Grade 9,Social Science,Chapter 6: Democracy,Exam-Style Problems: Democracy,FABRICATED_NUMBER,low,17 States and 1 Union Territory had provided 50 per cent reservation in Urban Local Bodies.,The chapter does not explicitly state the number of States and Union Territories that had provided 50 per cent reservation in Urban Local Bodies.
Grade 9,Social Science,Chapter 6: Democracy,Revision and recap: Democracy,FABRICATED_NUMBER,low,21 States and 2 Union Territories provided 50 per cent reservation in Panchayati Raj Institutions.,The chapter does not explicitly state the number of States and Union Territories that provided 50 per cent reservation in Panchayati Raj Institutions.
Grade 9,Social Science,Chapter 6: Democracy,Revision and recap: Democracy,FABRICATED_NUMBER,low,17 States and 1 Union Territory had provided 50 per cent reservation in Urban Local Bodies.,The chapter does not explicitly state the number of States and Union Territories that had provided 50 per cent reservation in Urban Local Bodies.
Grade 9,Social Science,Chapter 6: Democracy,Worked Examples: Democracy,TOPIC_MISMATCH,high,Direct democracy: Citizens directly participate in most decision-making processes.,"This step is about direct democracy, but the chapter label is about democracy in general."
Grade 9,Social Science,Chapter 7: Elections,Worked Examples: Elections,TOPIC_MISMATCH,low,The Electronically Transmitted Postal Ballot System allows service voters to receive and cast postal ballots electronically from outside their assigned constituency.,"This step seems to be about postal ballots, but the chapter label is about elections in general."
Grade 9,Social Science,Chapter 8: Building Blocks in Economics: The Problem of Choice,Concept Introduction: Building Blocks in Economics: The Problem of Choice,UNSUPPORTED_CLAIM,low,"People, enterprises, and governments cannot obtain or produce everything they may want.","This statement is not entirely accurate, as people and governments can produce some things, but the statement is generally true and does not contradict the source text."
Grade 9,Social Science,Chapter 8: Building Blocks in Economics: The Problem of Choice,Core Explanation: Building Blocks in Economics: The Problem of Choice,FABRICATED_NUMBER,low,"The PPC makes this problem visible, while data and surveys help families, enterprises, governments, and economists make decisions based on evidence rather than guesswork.","The number of data and surveys is not specified, and the statement is generally true and does not contradict the source text."
Grade 9,Social Science,Chapter 8: Building Blocks in Economics: The Problem of Choice,Exam-Style Problems: Building Blocks in Economics: The Problem of Choice,TOPIC_MISMATCH,high,"A purely planned system can restrict private competition through extensive government ownership, permits, licences, and production targets, which may weaken incentives for quality improvement and innovation.","This step is about planned, market, and mixed economies, which is a different topic from the rest of the chapter."
Grade 9,Social Science,Chapter 8: Building Blocks in Economics: The Problem of Choice,Worked Examples: Building Blocks in Economics: The Problem of Choice,FABRICATED_NUMBER,low,"A garment manufacturer considers machine cost, technology, product type, labour availability and cost, and government laws and regulations.","The number of machine costs and government laws and regulations is not specified, and the statement is generally true and does not contradict the source text."
Grade 9,Social Science,Uploaded Book Content,Step-by-step breakdown,FABRICATED_NUMBER,low,"e.g., nationalism","The example of nationalism is not a specific number or quantity, but it is a low-severity issue because it is not a numerical error."
Grade 10,English,Chapter 1: A Letter to God,Concept introduction,UNSUPPORTED_CLAIM,low,The opening asks what people should put their faith in and prepares us for a farmer who writes to God after his crop is ruined.,The story does not explicitly state that people should put their faith in God.
Grade 10,English,Chapter 1: A Letter to God,Exam-style problems,FABRICATED_NUMBER,low,"The chapter distinguishes gale, whirlwind, cyclone, hurricane, tornado, and typhoon by their descriptions.",The story does not provide specific numbers or quantities for the different types of storms.
Grade 10,English,Chapter 1: A Letter to God,Worked examples,INCONSISTENCY,low,"Lencho can be called hardworking, faithful, naive, unquestioning, and ungrateful in this situation;",This description contradicts the earlier characterization of Lencho as 'unquestioning' and 'naive'.
Grade 10,English,Chapter 1: A Triumph of Surgery,Concept introduction,UNSUPPORTED_CLAIM,low,"Tricki is loved, but the way he is loved is harmful.","This statement is not supported by the source text, which does not mention harm caused by love."
Grade 10,English,Chapter 1: A Triumph of Surgery,Core explanation,FABRICATED_NUMBER,low,two days,The source text does not specify the exact duration of Tricki's rest.
Grade 10,English,Chapter 1: A Triumph of Surgery,Exam-style problems,UNSUPPORTED_CLAIM,low,The narrator is amused but ultimately tactful.,"This statement is not entirely supported by the source text, which does not explicitly mention the narrator's amusement."
Grade 10,English,Chapter 1: A Triumph of Surgery,Revision and recap,UNSUPPORTED_CLAIM,low,The chapter warns that indulgence can cause real harm.,"This statement is not entirely supported by the source text, which primarily focuses on Tricki's physical recovery rather than the broader implications of indulgence."
Grade 10,English,Chapter 1: A Triumph of Surgery,Worked examples,FABRICATED_NUMBER,low,two days,The source text does not specify the exact duration of Tricki's rest.
Grade 10,English,Chapter 2: Nelson Mandela: Long Walk to Freedom,Core explanation,UNSUPPORTED_CLAIM,low,Mandela repeatedly contrasts what happened under apartheid with what is happening in the new nation.,"This statement is not entirely supported by the source text, which primarily focuses on the inauguration and its significance."
Grade 10,English,Chapter 2: Nelson Mandela: Long Walk to Freedom,Exam-style problems,FABRICATED_NUMBER,low,A Black South African who served the people could be separated from family and forced into a 'twilight existence' of secrecy and rebellion.,The text does not provide a specific number of years or a specific time period for this 'twilight existence'.
Grade 10,English,Chapter 2: Nelson Mandela: Long Walk to Freedom,Revision and recap,TOPIC_MISMATCH,high,"Noun formation: Formation comes from form, government from govern, rebellion from rebel, and constitution from constitute;","This section appears to be about language exercises and vocabulary, which is not the main focus of the chapter."
Grade 10,English,Chapter 2: Nelson Mandela: Long Walk to Freedom,Worked examples,UNSUPPORTED_CLAIM,low,Mandela does not present brave people as fearless.,"This statement is not entirely supported by the source text, which primarily focuses on Mandela's ideas about courage and its definition."
Grade 10,English,Chapter 2: The Thief's Story,Concept introduction,UNSUPPORTED_CLAIM,low,He says changing names keeps him ahead of the police and his former employers.,The story does not explicitly state that changing names keeps him ahead of the police and his former employers.
Grade 10,English,Chapter 2: The Thief's Story,Core explanation,FABRICATED_NUMBER,low,"He thinks Anil will waste the money and does not pay him, trying to make theft seem reasonable.",The story does not mention Anil wasting money or not paying Hari.
Grade 10,English,Chapter 2: The Thief's Story,Exam-style problems,ARITHMETIC_ERROR,low,He counts six hundred rupees in fifty-rupee notes.,"The story states that Hari counts 600 rupees in fifties, but the calculation is not explicitly shown."
Grade 10,English,Chapter 2: The Thief's Story,Worked examples,UNSUPPORTED_CLAIM,low,"He says it is hard to rob a careless man because he may not notice, taking away the thief’s pleasure.",The story does not explicitly state that a careless man may not notice being robbed.
Grade 10,English,Chapter 3: The Midnight Visitor,Exam-style problems,UNSUPPORTED_CLAIM,low,A common mistake is to call Ausable fearless because he shows no panic.,"This claim is not entirely accurate, as Ausable's calmness is a result of his presence of mind, not necessarily fearlessness."
Grade 10,English,Chapter 3: Two Stories about Flying,Concept introduction,INCONSISTENCY,low,The family stops feeding him and waits for necessity to push him into action.,"This contradicts the statement that the family remains nearby, watches him, and uses pressure to make him attempt what he is physically able to do."
Grade 10,English,Chapter 3: Two Stories about Flying,Exam-style problems,UNSUPPORTED_CLAIM,high,"The control centre reports that no second aeroplane was in the sky or on radar, and the helper disappears.",This contradicts the narrator's experience of seeing the pilot and following the black aeroplane.
Grade 10,English,Chapter 3: Two Stories about Flying,Revision and recap,FABRICATED_NUMBER,low,"The chapter includes speaking on flight-related topics, a humorous composition about learning a skill, and a paragraph about being alone during a thunderstorm.",There is no specific number or data point mentioned in the SOURCE_TEXT.
Grade 10,English,Chapter 3: Two Stories about Flying,Worked examples,ARITHMETIC_ERROR,low,"The narrator says, ‘I’ll take the risk.’","The calculation of the risk is not provided, but the narrator's decision to fly into the storm despite limited fuel is questionable."
Grade 10,English,Chapter 4: A Question of Trust,Concept introduction,UNSUPPORTED_CLAIM,low,"Horace is successful, orderly, and admired, but he steals to buy rare books.","The story does not explicitly state that Horace steals to buy rare books, but rather that he loves rare, expensive books and secretly buys them through an agent."
Grade 10,English,Chapter 4: A Question of Trust,Core explanation,FABRICATED_NUMBER,low,He enters while the family is in London and the two servants have gone to the movies.,"The story does not specify the number of servants, but rather mentions that there are two servants who remain in the Grange while the family is in London."
Grade 10,English,Chapter 4: A Question of Trust,Exam-style problems,UNSUPPORTED_CLAIM,low,The skilled burglar is manipulated into assisting another thief.,"The story does not explicitly state that the woman is a skilled thief, but rather that she is a clever and manipulative person who tricks Horace into opening the safe."
Grade 10,English,Chapter 4: A Question of Trust,Revision and recap,UNSUPPORTED_CLAIM,low,The story questions trust among criminals and excuses based on good intentions.,"The story does not explicitly question trust among criminals, but rather highlights the consequences of Horace's actions and the woman's deception."
Grade 10,English,Chapter 4: A Question of Trust,Worked examples,UNSUPPORTED_CLAIM,low,The woman never proves her identity.,"The story does not explicitly state that the woman never proves her identity, but rather that Horace assumes she is the owner of the house based on her behavior and appearance."
Grade 10,English,Chapter 4: From the Diary of Anne Frank,Revision and recap,UNSUPPORTED_CLAIM,low,The language of a diary often sounds like private speech.,"This statement is not supported by the source text, which does not explicitly mention that diary language sounds like private speech."
Grade 10,English,Chapter 5: Footprints without Feet,Concept introduction,UNSUPPORTED_CLAIM,low,"Griffin discovers how to make the human body transparent, but he quickly uses the discovery to escape punishment after setting fire to a house.",The text does not explicitly state that Griffin uses his discovery to escape punishment after setting fire to a house.
Grade 10,English,Chapter 5: Footprints without Feet,Core explanation,UNSUPPORTED_CLAIM,low,Invisibility does not protect Griffin from winter.,The text does not explicitly state that invisibility does not protect Griffin from winter.
Grade 10,English,Chapter 5: Footprints without Feet,Exam-style problems,UNSUPPORTED_CLAIM,low,"Because witnesses see effects without a visible cause, they interpret ordinary physical actions as supernatural events.",The text does not explicitly state that witnesses interpret ordinary physical actions as supernatural events.
Grade 10,English,Chapter 5: Footprints without Feet,Revision and recap,UNSUPPORTED_CLAIM,low,Scientific ability without ethics can magnify harm rather than benefit society.,The text does not explicitly state this general statement about scientific ability and ethics.
Grade 10,English,Chapter 5: Footprints without Feet,Worked examples,UNSUPPORTED_CLAIM,low,"He says he wants solitude and does not wish to be disturbed in his work, adding that an accident has affected his face.",The text does not explicitly state that Griffin says he wants solitude and does not wish to be disturbed in his work.
Grade 10,English,Chapter 5: Glimpses of India,Concept introduction,FABRICATED_NUMBER,low,"The tiger never brushed his teeth. Hot tea could wash and clean up everything so nicely, after all!",There is no specific number or data point in this quote that does not appear in SOURCE_TEXT.
Grade 10,English,Chapter 5: Glimpses of India,Core explanation,UNSUPPORTED_CLAIM,medium,"Bread is woven into marriages, engagements, feasts, Christmas, and village routine.","SOURCE_TEXT does not explicitly state that bread is woven into Christmas, although it does mention the importance of bread in Goan life."
Grade 10,English,Chapter 5: Glimpses of India,Core explanation,INCONSISTENCY,low,In Portuguese times the baker wore a single-piece long frock reaching the knees.,"This contradicts the statement in SOURCE_TEXT that in the narrator's childhood, bakers wore a shirt and trousers shorter than full length but longer than half pants."
Grade 10,English,Chapter 5: Glimpses of India,Exam-style problems,TOPIC_MISMATCH,high,"You will study Coorg's river, wildlife, adventure activities, viewpoints, and travel information.","This step's content is about Coorg, but the chapter label is Chapter 5: Glimpses of India, which is about Goan paders and their culture."
Grade 10,English,Chapter 5: Glimpses of India,Revision and recap,TOPIC_MISMATCH,high,"You will study the journey in Tea from Assam, the legends and history associated with tea, and the view of the Dhekiabari estate.","This step's content is about Assam tea, but the chapter label is Chapter 5: Glimpses of India, which is about Goan paders and their culture."
Grade 10,English,Chapter 5: Glimpses of India,Worked examples,TOPIC_MISMATCH,high,"You will explore Coorg's location, climate, landscape, people, and cultural traditions.","This step's content is about Coorg, but the chapter label is Chapter 5: Glimpses of India, which is about Goan paders and their culture."
Grade 10,English,Chapter 6: Mijbil the Otter,Concept introduction,UNSUPPORTED_CLAIM,low,Maxwell travelled to Iraq only to buy an otter.,"This claim is not supported by the text, which states that Maxwell went to Basra to collect and answer mail from Europe."
Grade 10,English,Chapter 6: Mijbil the Otter,Exam-style problems,FABRICATED_NUMBER,low,The labourer’s question received Maxwell’s ‘highest score’.,There is no indication in the text that a score was given or that the labourer’s question was ranked.
Grade 10,English,Chapter 6: Mijbil the Otter,Revision and recap,UNSUPPORTED_CLAIM,low,"The chapter says to use used to for past states or situations, however, the chapter prefers would for repeated actions.","The text actually states that both would and used to can be used for repeated actions, but only used to for past states or situations."
Grade 10,English,Chapter 6: Mijbil the Otter,Worked examples,FABRICATED_NUMBER,low,The driver moves through Basra ‘like a ricochetting bullet’.,There is no indication in the text that the driver’s speed was measured or quantified.
Grade 10,English,Chapter 6: The Making of a Scientist,Core explanation,FABRICATED_NUMBER,low,"By the time he was in the second grade, Ebright had collected all twenty- five species of butterflies found around his hometown.","The text does not mention that Ebright collected 25 species, it only mentions that he collected butterflies and other items, and that there is a box showing the species he collected."
Grade 10,English,Chapter 6: The Making of a Scientist,Exam-style problems,FABRICATED_NUMBER,low,He also got a chance to work during the summer at the entomology laboratory of the W alter Reed Ar my Institute of Research.,The text does not mention the specific year or the number of summers Ebright worked at the laboratory.
Grade 10,English,Chapter 7: Madam Rides the Bus,Core explanation,UNSUPPORTED_CLAIM,low,The conductor jokingly calls her ‘madam’ because she behaves like a grown traveller.,The text does not explicitly state that the conductor is joking.
Grade 10,English,Chapter 7: The Necklace,Core explanation,UNSUPPORTED_CLAIM,low,She weeps for whole days from despair and disappointment.,"The text does not explicitly state that she weeps for whole days, but rather that she wept for whole days from despair and disappointment."
Grade 10,English,Chapter 7: The Necklace,Revision and recap,UNSUPPORTED_CLAIM,low,The original necklace is imitation jewellery worth no more than five hundred francs.,"The text states that the original necklace is imitation jewellery, but it does not specify its value as five hundred francs."
Grade 10,English,Chapter 8: Bholi,Core explanation,UNSUPPORTED_CLAIM,low,Bholi is not born without value.,"This statement is not supported by the source text, which describes Bholi as being neglected and labelled as a simpleton."
Grade 10,English,Chapter 8: Bholi,Exam-style problems,UNSUPPORTED_CLAIM,low,"The proposal is unequal, but Bholi is prepared to accept it for family honour.","This statement is not supported by the source text, which describes Bholi as being willing to marry an older man with a limp for the sake of her parents and family honour, but later rejecting him when he demands dowry."
Grade 10,English,Chapter 8: The Sermon at Benares,Concept introduction,UNSUPPORTED_CLAIM,low,You will understand the meaning of a sermon and trace Siddhartha Gautama’s movement from protected prince to enlightened teacher.,"This step does not explicitly state that the chapter will introduce Siddhartha Gautama's movement from protected prince to enlightened teacher, but it implies it."
Grade 10,English,Chapter 8: The Sermon at Benares,Core explanation,FABRICATED_NUMBER,low,She carries the body to her neighbours. They believe she has lost her senses because she continues to seek medicine for the dead child.,"The number of times Kisa Gotami carries the body to her neighbours is not specified in the source text, but it is mentioned here as 'She carries the body to her neighbours'."
Grade 10,English,Chapter 8: The Sermon at Benares,Core explanation,ARITHMETIC_ERROR,low,The Buddha asks for a handful of mustard seed. Kisa is joyful because the request seems simple.,"The source text does not mention the quantity of mustard seed the Buddha asks for, but it is mentioned here as 'a handful'."
Grade 10,English,Chapter 8: The Sermon at Benares,Exam-style problems,UNSUPPORTED_CLAIM,low,The chapter connects an old-fashioned sacred narrative with modern accounts of mourning.,The source text does not explicitly mention connecting an old-fashioned sacred narrative with modern accounts of mourning.
Grade 10,English,Chapter 8: The Sermon at Benares,Worked examples,UNSUPPORTED_CLAIM,low,The sermon does not deny that loss is painful. It argues that death cannot be prevented and that endless lamentation increases suffering without restoring the dead.,The source text does not explicitly mention that the sermon argues that death cannot be prevented and that endless lamentation increases suffering without restoring the dead.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Core explanation,UNSUPPORTED_CLAIM,low,"Think-Tank calls himself the universe’s greatest intelligence, but he depends on Noodle for useful information.",The play does not explicitly state that Think-Tank depends on Noodle for useful information.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Core explanation,UNSUPPORTED_CLAIM,low,"Noodle speaks humbly, calls his own useful knowledge insignificant or cloudy, and phrases corrections as reminders rather than challenges.",The play does not explicitly state that Noodle speaks humbly or phrases corrections as reminders rather than challenges.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Exam-style problems,UNSUPPORTED_CLAIM,low,"The Martians can decode the words after taking intelligence vitamins, but decoding language is not the same as understanding context.",The play does not explicitly state that the Martians can decode the words after taking intelligence vitamins.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Exam-style problems,UNSUPPORTED_CLAIM,low,Think-Tank reads imaginative nursery rhymes as literal reports.,The play does not explicitly state that Think-Tank reads imaginative nursery rhymes as literal reports.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Worked examples,UNSUPPORTED_CLAIM,low,"Captain Omega, Lieutenant Iota, and Sergeant Oop enter a library but lack the cultural knowledge needed to identify it.",The play does not explicitly state that the crew lacks cultural knowledge needed to identify the library.
Grade 10,English,Chapter 9: The Book That Saved the Earth,Worked examples,UNSUPPORTED_CLAIM,low,Think-Tank repeatedly guesses instead of observing carefully.,The play does not explicitly state that Think-Tank repeatedly guesses instead of observing carefully.
